time,0,1,2,3,4,5,6,7,left_distance,right_distance,
1-6-2024 12:57:12,68.101889,69.656078,65.908123,67.339654,68.869932,66.354297,68.480790,70.248115,0.230099,0.199578,
1-6-2024 12:57:12,73.227200,66.369883,73.586584,64.794841,63.249611,61.110244,73.816483,68.371093,0.233867,0.203346,
1-6-2024 12:57:13,70.681211,64.692118,60.499504,67.471685,66.080386,67.381350,73.903474,69.894585,0.237761,0.207240,
1-6-2024 12:57:13,70.000343,62.059614,60.987529,68.989881,69.576018,66.422696,63.120547,63.885732,0.241654,0.211008,
1-6-2024 12:57:13,68.101264,61.424656,66.276019,69.733306,62.271632,67.519473,67.527230,66.782122,0.245422,0.214902,
1-6-2024 12:57:13,66.518269,68.780438,64.122026,61.955907,67.147571,66.941255,66.325678,64.835937,0.249316,0.218670,
1-6-2024 12:57:13,65.849885,60.046272,67.515525,69.805481,66.833104,71.230243,59.606768,67.825149,0.253084,0.222563,
1-6-2024 12:57:13,66.621804,68.000072,74.499802,66.215328,66.845233,73.143559,62.137026,69.008092,0.256978,0.226331,
1-6-2024 12:57:13,63.951645,75.086268,65.106071,67.302685,60.467407,67.715441,69.354563,64.417035,0.260746,0.230225,
1-6-2024 12:57:13,63.916540,71.230551,69.598775,67.280203,70.619913,62.210630,60.942252,64.476946,0.264639,0.234118,
1-6-2024 12:57:13,69.948396,64.454179,66.628501,61.687232,62.307522,72.284253,66.696326,66.029375,0.268407,0.237886,
1-6-2024 12:57:13,66.529755,63.931542,66.951704,69.136714,67.584067,62.980706,73.336600,67.145791,0.272301,0.241780,
1-6-2024 12:57:13,61.316264,67.626524,66.842739,67.551497,70.104530,66.217960,63.987537,71.644535,0.276069,0.245548,
